,event number,mission number,trajectory number,jump amplitude [m],jump time [s],jump depth [m],normalized jump amplitude [-],normalized jump time [-],normalized cross shore jump location [-],breaking iribarren_number [-],Offshore Hs [m],Offshore Tm [s],linear phase speed at jump depth [m/s],bulk jump speed [m/s],mean jump speed [m/s],median jump speed [m/s],max jump speed [m/s],nrmse
1514,1514,26,12,43.67726457,15.666604,3.14623073,0.755123118,2.156049229,0.880322573,0.124572287,1.9717437,7.266348,5.552752575,2.787921656,2.762369217,2.723068016,6.579375974,0.595680986
3585,3585,24,15,43.10065096,30.83321,2.713563826,0.785917398,4.429049963,0.63314224,0.115793557,2.163684,6.9615855,5.156832894,1.397864541,1.387449248,1.27507631,3.227881142,0.717545116
3566,3566,24,13,42.97480108,20.999916,3.504717178,0.783622593,3.016542137,0.789373286,0.115793557,2.163684,6.9615855,5.860565531,2.046427285,2.003979037,2.239590436,4.406530898,0.736292292
1646,1646,77,9,42.93755969,6.166642,2.649311139,0.638404677,0.747418306,0.536444753,0.12979822,2.1118326,8.25059,5.095414523,6.962875369,6.694440459,6.802495047,10.57690166,0.573242963
3015,3015,20,3,42.79814691,8.499966,3.387275342,0.709366276,1.129964624,0.597363017,0.109169979,2.6779573,7.5223293,5.761536111,5.035096248,4.960785582,4.75385043,9.710239077,0.445702777
316,316,18,17,42.61059489,22.999908,2.133545808,0.666764257,2.911849825,1.124198824,0.175101151,1.1026126,7.8987274,4.572608547,1.852641971,1.846382232,2.181124647,3.771980972,0.674874101
317,317,18,17,42.61059489,22.999908,2.133545808,0.666764257,2.911849825,1.007113713,0.175101151,1.1026126,7.8987274,4.572608547,1.852641971,1.846382232,2.181124647,3.771980972,0.66800033
3504,3504,24,4,42.49618015,5.666644,1.459303146,0.774895196,0.813987561,0.443369489,0.115793557,2.163684,6.9615855,3.781688887,7.499355907,7.300745144,7.63571336,12.17181961,0.332711384
3047,3047,20,9,42.48678447,8.166634,1.705468238,0.704205538,1.085652286,0.357343267,0.109169979,2.6779573,7.5223293,4.088225621,5.202484215,5.225462127,4.441209397,9.844327089,0.383826555
3390,3390,75,6,42.4248886,4.666648,2.310371021,0.602982274,0.544046745,0.460491952,0.131080441,2.1661875,8.57766,4.758322814,9.091083921,8.976212709,10.0152508,13.98814063,0.410548028
1708,1708,77,20,42.3688658,6.66664,3.532632644,0.629949217,0.80801979,0.750233505,0.12979822,2.1118326,8.25059,5.88385927,6.355355291,6.308921802,6.385440658,10.91625931,0.530603359
2874,2874,21,26,42.17870359,11.499954,2.58057001,0.708444004,1.545160451,0.534229046,0.111073199,2.5528471,7.442563,5.028875232,3.667728027,3.649488619,3.381816301,7.314778228,0.375856821
2869,2869,21,25,42.1137533,6.833306,0.874291556,0.707353083,0.918138819,0.408996095,0.111073199,2.5528471,7.442563,2.927124399,6.16301294,5.841440048,6.263817163,8.91581633,0.503554041
3172,3172,20,34,42.09079758,6.166642,1.208405325,0.697642176,0.819778257,0.355338714,0.109169979,2.6779573,7.5223293,3.44127479,6.825562044,6.702258446,6.709211155,10.89254903,0.477862583
1254,1254,76,17,42.01380195,20.499918,2.341249117,0.624670052,2.484660855,0.528897437,0.12979822,2.1118326,8.25059,4.790014754,2.049461951,2.033303174,2.17417407,3.430381184,0.716828681
1704,1704,77,19,42.01062154,11.333288,1.983611298,0.624622765,1.373633643,0.484230138,0.12979822,2.1118326,8.25059,4.409012443,3.706834375,3.701918252,3.541962398,6.109826519,0.738060266
2003,2003,73,22,41.99991189,6.66664,1.835069051,0.527177203,0.697443945,0.732860651,0.165174783,1.5447562,9.558675,4.240716532,6.300011983,6.164867501,5.848106098,10.03909256,0.389530978
1827,1827,36,7,41.96965792,20.166586,1.521912466,0.623263358,2.441737509,1.155668158,0.207574516,0.82674474,8.259113,3.861960922,2.081148387,2.090332914,2.398832405,3.891226504,0.347733932
3646,3646,24,24,41.80555379,8.999964,1.44667892,0.762301992,1.292803773,0.442914059,0.115793557,2.163684,6.9615855,3.765295927,4.645080113,4.465666077,4.082162276,7.656292798,0.794283413
